Name,Park,City/Region,City/State/Region,Country/Region,Geographic Region,Construction,Type,Status,Year/Date Opened,Height (feet), Speed (mph),Length (feet),Inversions (YES or NO),Number of Inversions,Drop (feet),Duration (min:sec),G Force,Vertical Angle (degrees),
10 Inversion Roller Coaster,Chimelong Paradise,Panyu,"Guangzhou, Guangdong",China,Asia,Steel,Sit Down,Operating,2006,98.4,45.0,2788.8,YES,10,,1:32,,,
Abismo,Parque de Atracciones de Madrid,Madrid,Madrid,Spain,Europe,Steel,Sit Down,Operating,2006,151.6,65.2,1476.4,YES,2,,1:00,4,,
Adrenaline Peak,Oaks Amusement Park,Portland,Oregon,United States,North America,Steel,Sit Down,Operating ,2018,72.0,45.0,1050.0,YES,3,,,,97,
Afterburn,Carowinds,Charlotte,North Carolina,United States,North America,Steel,Inverted,Operating,1999,113.0,62.0,2956.0,YES,6,,2:47,,,
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,North America,Steel,Inverted,Operating,1997,195.0,67.0,3828.0,YES,6,170.0,3:10,3.7,,
Alpina Blitz,Nigloland,Dolancourt,Champagne-Ardenne,France,Europe,Steel,Sit Down,Operating,2014,108.3,51.6,2358.9,NO,0,,,4.3,,
Altair,Cinecittà World,Rome,Rome,Italy,Europe,Steel,Sit Down,Operating,2014,108.3,52.8,2879.8,YES,10,,,,,
American Eagle,Six Flags Great America,Gurnee,Illinois,United States,North America,Wood,Sit Down,Operating,1981,127.0,66.0,4650.0,NO,0,147.0,2:23,,55,
Anaconda,Walygator Parc,Maizieres-les-Metz ,Lorraine,France,Europe,Wood,Sit Down,Operating,1989,118.1,55.9,3937.0,NO,0,40.0,2:10,,,
Apocalypse,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Stand Up,Operating,2012,100.0,55.0,2900.0,YES,2,90.0,2:00,,,
Apocalypse the Ride,Six Flags Magic Mountain,Valencia,California,United States,North America,Wood,Sit Down,Operating,2009,95.0,50.1,2877.0,NO,0,87.3,3:00,,,
Apollo's Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,North America,Steel,Sit Down,Operating,1999,170.0,73.0,4882.0,NO,0,210.0,2:15,4.1,65,
Atlantica SuperSplash,Europa Park,Rust ,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,Operating,2005,98.4,49.7,1279.5,NO,0,,3:20,,,
Backlot Stunt Coaster,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,Operating,2005,45.2,40.0,1960.0,NO,0,31.2,1:04,,,
Balder,Liseberg,Gothenburg,Vastra Gotaland,Sweden,Europe,Wood,Sit Down,Operating,2003,118.1,55.9,3510.5,NO,0,,2:08,,70,
Bandit,Movie Park Germany,Bottrop ,North Rhine-Westphali,Germany,Europe,Wood,Sit Down,Operating,1999,91.2,49.7,3605.7,NO,0,81.7,1:30,,,
Banshee,Kings Island,Mason,Ohio,United States,North America,Steel,Inverted,Operating,2014,167.0,68.0,4124.0,YES,7,150.0,2:40,,,
Bat,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Suspended,Operating,1993,78.0,51.0,2352.0,NO,0,,1:52,,,
Batman - The Dark Knight,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Sit Down,Operating ,2002,117.8,55.0,2600.0,YES,5,,2:20,,,
Batman The Ride,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Inverted,Operating,1992,100.0,50.0,2700.0,YES,5,,2:00,,,
Batman The Ride,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Inverted,Operating,1993,105.0,50.0,2693.0,YES,5,,1:30,,,
Batman The Ride,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Inverted,Operating,1994,105.0,50.0,2700.0,YES,5,,2:00,4,,
Batman The Ride,Six Flags St. Louis,Eureka,Missouri,United States,North America,Steel,Inverted,Operating,1995,105.0,50.0,2693.0,YES,5,,2:00,4,,
Batman The Ride,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Inverted,Operating,1999,105.0,50.0,2700.0,YES,5,,2:00,4,,
Batman the Ride,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Inverted,Operating,2000,109.3,49.7,2260.5,YES,5,,1:36,,,
Batman: Arkham Asylum,Parque Warner Madrid,San Martin de la Vega,Madrid,Spain,Europe,Steel,Inverted,Operating,2002,105.0,49.7,2700.2,YES,5,,1:15,4.9,,
Batwing,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Flying,Operating,2001,115.0,50.0,3340.0,YES,5,,2:02,4.3,,
Beast,Kings Island,Mason,Ohio,United States,North America,Wood,Sit Down,Operating,1979,110.0,64.8,7359.0,NO,0,141.0,4:10,,45,
Behemoth,Canada's Wonderland,Vaughan,Onterio,Canada,North America,Steel,Sit Down,Operating,2008,230.0,77.0,5318.0,NO,0,,,,75,
Big Apple Coaster,"New York, New York Hotel & Casino",Las Vegas,Nevada,United States,North America,Steel,Sit Down,Operating,1997,203.0,67.0,4777.0,YES,2,144.0,2:40,,,
